"firstName","lastName","countryCode","phone","email","password","nationality","country","street","area","city","identityDocumentNumber","identityDocumentExpiryDate"
"test two","test two","20","1245678702","user2@gmail.com","Safe@2024","Egyptian","Egypt","street one","area","Cairo one","55557777","12/21/2024 19:06"
"test four","test four","20","1245678704","user4@gmail.com","Safe@2024","Egyptian","Egypt","street one","area","Cairo one","55559999","12/21/2024 19:06"
"test five","test five","20","1245678705","user5@gmail.com","Safe@2024","Egyptian","Egypt","street one","area","Cairo one","55561110","12/21/2024 19:06"
"test one","test one","20","1245678706","user6@gmail.com","Safe@2024","Egyptian","Egypt","street one","area","Cairo one","55562221","12/21/2024 19:06"
"test two","test two","20","1245678707","user7@gmail.com","Safe@2024","Egyptian","Egypt","street one","area","Cairo one","55563332","12/21/2024 19:06"
"test four","test four","20","1245678709","user9@gmail.com","Safe@2024","Egyptian","Egypt","street one","area","Cairo one","55565554","12/21/2024 19:06"
"test five","test five","20","1245678710","user10@gmail.com","Safe@2024","Egyptian","Egypt","street one","area","Cairo one","55566665","12/21/2024 19:06"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"test one","test one","20","1245678701","user1@gmail.com","Safe@2024","Egyptian","Egypt","street one","area one","Cairo one","55556666","12/21/2024 19:06"
"test three","test three","20","1245678703","user3@gmail.com","Safe@2024","Egyptian","Egypt","street one","area","Cairo one","55558888","12/21/2024 19:06"
"test three","test three","20","1245678708","user8@gmail.com","Safe@2024","Egyptian","Egypt","street one","area","Cairo one","55564443","12/21/2024 19:06"
